ortholog_group,category,presence_count,present_in_mags
COG0554,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG3258,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG2863,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG1132,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG0351,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG0265,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG0635,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG0187,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG2974,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG2265,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG0727,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG0493,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG2137,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
2AT6R,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG2911,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG0327,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG0243,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG0437,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG0514,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG0225,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG2010,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG0136,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG1048,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG0811,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG0848,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG1283,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG4974,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG1694,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG1570,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG0745,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG0500,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG4221,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG2227,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG3187,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG3585,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG2873,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG1055,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG0061,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG0446,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG0064,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG0154,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG0721,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG1934,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG1137,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG2925,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG1040,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG2885,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG0697,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG0583,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG1704,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG0513,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG1403,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
